a(t)_0,a(t)_1,a(t)_2,a(t)_3,v(t)_0,v(t)_1,v(t)_2,v(t)_3,x(t)_0,x(t)_1,x(t)_2,x(t)_3
0.281068254,-0.796802907,-0.267811465,-0.144473066,3.54024E-06,-1.58082E-05,-6.29877E-06,-4.02493E-06,1.51295E-10,-1.47145E-10,-2.67003E-11,-4.40049E-11
0.18554861,-0.701047481,-0.164030401,-0.800539696,8.76716E-06,-4.55229E-05,-1.68737E-05,-2.47052E-05,5.54088E-10,-1.01362E-09,-2.83822E-10,-5.30437E-10
0.597882532,0.004181556,-0.091371686,-0.625223828,2.00816E-05,-5.96943E-05,-2.40105E-05,-5.45776E-05,1.27426E-09,-2.72284E-09,-8.81395E-10,-1.98946E-09
1.343193013,0.995467838,0.025815929,-0.579001081,5.36675E-05,-4.11173E-05,-2.74628E-05,-8.0074E-05,2.85725E-09,-4.34108E-09,-1.68093E-09,-4.51045E-09
0.882484095,1.160379959,-0.11136181,-0.601001057,9.26193E-05,-3.22002E-07,-3.12879E-05,-0.000105013,5.83266E-09,-4.80925E-09,-2.61788E-09,-7.99452E-09
0.615331085,0.622783368,-0.435932001,-0.395534963,0.000117404,3.31458E-05,-4.39987E-05,-0.000126326,1.00259E-08,-3.84441E-09,-3.87019E-09,-1.23576E-08
0.74233642,-0.243065723,-0.390625043,-1.063456502,0.000139399,3.94456E-05,-6.20465E-05,-0.000156476,1.51058E-08,-2.11651E-09,-5.71086E-09,-1.7697E-08
0.334085012,-0.1455572,-0.152898176,-0.510778359,0.000155894,3.09142E-05,-7.45748E-05,-0.000188739,2.09094E-08,-4.37722E-10,-8.13427E-09,-2.42203E-08
0.621818368,0.035374612,0.211293159,0.013744376,0.000170007,2.77793E-05,-7.54571E-05,-0.000200125,2.72822E-08,1.01026E-09,-1.08075E-08,-3.15616E-08
0.480887745,0.706750721,0.818178968,-0.133701057,0.000186898,4.10822E-05,-5.76198E-05,-0.000204202,3.42298E-08,2.64908E-09,-1.31444E-08,-3.91746E-08
-0.124890235,0.462767831,0.782986773,-0.423975346,0.000189336,6.25749E-05,-2.88268E-05,-0.000216699,4.1525E-08,4.9527E-09,-1.45742E-08,-4.70797E-08
0.318817528,-0.399514613,0.579075535,-0.877482615,0.00018864,6.26696E-05,-4.74396E-06,-0.000243485,4.88277E-08,7.66419E-09,-1.49797E-08,-5.57136E-08
