a(t)_0,a(t)_1,a(t)_2,a(t)_3,v(t)_0,v(t)_1,v(t)_2,v(t)_3,x(t)_0,x(t)_1,x(t)_2,x(t)_3
0.493079362,0.585786954,2.669958741,0.459899321,8.03444E-06,1.09301E-05,5.06579E-05,8.00949E-06,-6.85893E-11,-1.11539E-10,2.54744E-10,-6.25369E-11
-0.962532643,0.534403045,3.103876109,0.251070537,-3.97985E-06,3.17611E-05,0.000160157,1.99752E-05,-4.37081E-10,6.72639E-11,2.87374E-09,4.32314E-11
-0.111244571,0.054114625,2.722866735,0.992116348,-2.75989E-05,4.22709E-05,0.000270286,4.2156E-05,-1.49104E-09,8.49477E-10,9.71643E-09,8.06744E-10
0.061842841,-0.126091766,2.921511113,0.933069781,-3.13909E-05,4.00131E-05,0.000376508,7.74023E-05,-3.06956E-09,1.78796E-09,2.07046E-08,2.67436E-09
-0.402836741,0.037550871,3.029661276,1.076240607,-4.07891E-05,3.74438E-05,0.000488264,0.000114144,-4.89668E-09,2.63006E-09,3.58549E-08,5.9228E-09
0.580433978,-0.223418935,2.61369911,1.229385515,-4.01587E-05,3.30075E-05,0.000593688,0.000156467,-6.88627E-09,3.33414E-09,5.5137E-08,1.06835E-08
-0.914828746,0.568800038,2.121726591,1.151587673,-4.93981E-05,3.88257E-05,0.000681234,0.00020009,-9.03468E-09,4.06233E-09,7.80696E-08,1.70838E-08
-0.840113146,0.922321332,1.63496108,1.303421702,-8.59831E-05,6.67053E-05,0.000749602,0.000244984,-1.20586E-08,5.43739E-09,1.03925E-07,2.51672E-08
0.334644261,0.794707883,1.958693362,1.110038497,-9.83563E-05,9.88396E-05,0.000814579,0.000288916,-1.60153E-08,7.9642E-09,1.32259E-07,3.49338E-08
-0.450876187,0.667517595,1.724617386,1.345312847,-0.000103183,0.000125948,0.000881049,0.000333498,-2.02894E-08,1.16238E-08,1.63024E-07,4.63715E-08
0.098865092,0.7315359,2.181696964,0.456536631,-0.000112536,0.000151743,0.000951574,0.000365324,-2.48214E-08,1.629E-08,1.96319E-07,5.9241E-08
-0.194908147,1.262724616,1.940498758,0.320034191,-0.000116922,0.000188916,0.001026003,0.000377274,-2.96021E-08,2.21531E-08,2.32289E-07,7.29081E-08
-0.031048336,1.140974977,1.835819934,1.0056811,-0.000123795,0.000233847,0.001093494,0.000399763,-3.45825E-08,2.95777E-08,2.70865E-07,8.719E-08
0.232805108,0.652283777,2.318934553,-0.052312546,-0.000122399,0.000266852,0.001168032,0.000414992,-3.96506E-08,3.84779E-08,3.12039E-07,1.02148E-07
0.292476924,1.096543009,2.207552454,0.478764585,-0.000114772,0.000298882,0.001249461,0.000420009,-4.45265E-08,4.85997E-08,3.56072E-07,1.17442E-07
0.502306962,1.024847343,2.443663353,-0.374731878,-0.000101977,0.000337977,0.001332997,0.000418792,-4.89913E-08,6.00561E-08,4.03125E-07,1.32754E-07
-0.009405419,0.739394616,2.468740784,-0.851151038,-9.50448E-05,0.000370047,0.00142126,0.000391943,-5.30596E-08,7.2843E-08,4.53319E-07,1.4747E-07
0.297006837,0.223621073,2.262375669,-0.258462576,-9.20933E-05,0.000386559,0.001505707,0.000367427,-5.69226E-08,8.65204E-08,5.06661E-07,1.61143E-07
0.186387483,0.245867283,2.67432784,-0.711741867,-8.5378E-05,0.000393497,0.001593805,0.000345683,-6.05852E-08,1.00601E-07,5.63135E-07,1.73874E-07
0.014474493,0.561848098,2.67606351,-0.602197947,-8.41313E-05,0.000406926,0.001689552,0.000317388,-6.40809E-08,1.15023E-07,6.22949E-07,1.85595E-07
0.661413162,0.966995107,2.639494749,-0.419985713,-7.3733E-05,0.000434203,0.001784276,0.000294814,-6.73394E-08,1.30178E-07,6.86217E-07,1.96292E-07
0.423676623,1.175432422,2.966997623,-0.03390324,-5.54842E-05,0.000473207,0.001884259,0.000283271,-7.00336E-08,1.46555E-07,7.53008E-07,2.06293E-07
0.369820992,1.029381217,2.557918284,0.328013457,-4.29197E-05,0.000513271,0.001982301,0.000286184,-7.21239E-08,1.64397E-07,8.23374E-07,2.1609E-07
1.087448672,0.806254149,2.724063748,0.015967171,-1.76063E-05,0.000546074,0.002075298,0.000290045,-7.34762E-08,1.8358E-07,8.97166E-07,2.25981E-07
0.005750216,0.509678317,2.874348784,-0.115006777,6.00655E-07,0.00056874,0.00217405,0.000285351,-7.39844E-08,2.03761E-07,9.74386E-07,2.3582E-07
-0.396125759,0.6695125,2.645479817,0.316386527,-9.85049E-06,0.000588686,0.00227092,0.000286463,-7.43408E-08,2.24692E-07,1.05509E-06,2.45553E-07
0.958374117,0.476127647,2.520810868,-0.175307228,-1.90419E-06,0.00060791,0.002360617,0.000286406,-7.47436E-08,2.46301E-07,1.13911E-06,2.5527E-07
0.024037642,0.867310323,2.634347592,-0.184084421,1.41119E-05,0.000630874,0.002449764,0.000276701,-7.46826E-08,2.68645E-07,1.22626E-06,2.64762E-07
-0.159284018,0.570553136,2.844962104,0.214080941,8.53012E-06,0.000655572,0.002544824,0.000274534,-7.44202E-08,2.91826E-07,1.31664E-06,2.7399E-07
0.901274845,0.269503881,2.713649731,-0.075965369,1.98754E-05,0.000668656,0.002641057,0.000274456,-7.40471E-08,3.15652E-07,1.41038E-06,2.83141E-07
-0.14351321,0.547279248,2.370525832,0.078205444,3.14842E-05,0.00068124,0.002727785,0.000271758,-7.32323E-08,3.39885E-07,1.50731E-06,2.92203E-07
-0.493826472,0.784128843,2.299542936,0.584147888,1.61633E-05,0.000703693,0.002806205,0.000281789,-7.24914E-08,3.64705E-07,1.60706E-06,3.01372E-07
0.634289609,0.101387822,3.03798052,0.232547242,1.58875E-05,0.000717467,0.00289719,0.000294758,-7.20533E-08,3.90133E-07,1.70971E-06,3.10949E-07
0.347171427,0.263519167,2.89092742,0.498085807,3.18215E-05,0.000721153,0.002999229,0.00030602,-7.13143E-08,4.15804E-07,1.81571E-06,3.20958E-07
